id,name,tenure_months,monthly_revenue,support_tickets_90d,payment_failures_90d,usage_change_pct,nps,plan_type,days_since_login,discount_pct,price_increase_pct,engagement_trend_pct,complaint_recency_days,feature_adoption_pct,competitor_pressure,churned
cust-00027,Customer 00027,37,171.33,6,0,3.6,65,basic,10,12,5,2.9,22,71.9,0,0
cust-00028,Customer 00028,5,128.82,2,0,13.9,5,basic,16,14,10,10.4,50,63.1,1,0
cust-00029,Customer 00029,17,458.1,0,0,-25.8,55,standard,21,16,10,-23.9,54,57.8,2,1
cust-00030,Customer 00030,15,973.86,5,2,23.0,48,premium,4,0,0,24.8,13,40.4,1,0
cust-00031,Customer 00031,9,413.24,2,0,-37.5,62,standard,39,22,5,-36.2,7,54.3,1,1
cust-00032,Customer 00032,5,1013.94,2,0,-18.5,6,premium,31,5,5,-10.7,6,32.1,0,1
cust-00033,Customer 00033,9,1083.08,0,1,-2.1,28,premium,16,0,5,-1.6,26,39.2,1,1
cust-00034,Customer 00034,51,269.13,0,0,-12.0,77,basic,12,33,10,-24.9,53,16.4,0,0
cust-00035,Customer 00035,10,137.5,4,0,45,70,basic,20,17,15,45.5,43,44.4,0,0
cust-00036,Customer 00036,17,1244.4,1,0,34.6,46,premium,12,0,20,26.6,30,83.6,0,0
cust-00037,Customer 00037,55,339.42,8,1,27.8,24,standard,17,0,0,34.5,66,91.9,1,0
cust-00038,Customer 00038,4,912.66,4,0,0.8,24,premium,12,0,0,0.3,34,79.2,0,0
cust-00039,Customer 00039,50,159.42,0,0,29.9,88,basic,12,8,5,19.9,46,25.7,0,0
cust-00040,Customer 00040,7,398.62,0,0,30.5,34,standard,7,13,0,26.6,88,50.7,2,0
cust-00041,Customer 00041,23,151.37,6,0,-0.4,31,basic,34,19,0,8.0,32,31.7,1,0
cust-00042,Customer 00042,15,1356.69,2,0,20.5,43,premium,12,8,5,21.7,15,77.9,2,0
cust-00043,Customer 00043,7,155.14,0,1,20.1,38,basic,60,0,0,16.0,26,78.3,1,0
cust-00044,Customer 00044,33,150.39,0,0,-35.6,24,basic,23,4,0,-30.4,38,72.2,0,0
cust-00045,Customer 00045,7,1530.52,0,1,10.2,20,premium,17,1,0,5.7,59,81.6,3,0
cust-00046,Customer 00046,19,168.09,6,0,9.4,57,basic,7,25,0,19.4,11,84.0,1,0
cust-00047,Customer 00047,30,123.63,0,0,-1.2,60,basic,13,4,5,-6.3,86,66.8,0,0
cust-00048,Customer 00048,21,415.52,0,4,-35.9,80,standard,14,12,0,-37.1,73,75.7,1,0
cust-00049,Customer 00049,18,1496.2,0,0,-32.7,62,premium,7,18,0,-29.2,32,67.5,0,0
cust-00050,Customer 00050,32,753.2,3,0,-11.3,95,premium,13,0,0,-13.0,18,42.9,0,0
cust-00051,Customer 00051,12,444.86,0,0,-34.6,83,standard,20,0,15,-20.1,25,91.7,0,0
cust-00052,Customer 00052,8,152.54,1,2,-1.9,46,basic,1,4,10,4.1,77,56.9,3,1
cust-00053,Customer 00053,28,293.81,0,0,-3.6,48,basic,32,3,20,-12.9,62,72.7,0,0
cust-00054,Customer 00054,14,548.0,4,0,17.6,78,standard,23,31,5,22.4,7,58.9,1,0
cust-00055,Customer 00055,7,726.83,0,0,24.8,33,premium,23,13,5,29.0,39,36.7,1,0
cust-00056,Customer 00056,63,152.87,2,0,-4.6,63,basic,40,18,5,5.1,30,94.6,1,0
cust-00057,Customer 00057,14,327.1,3,1,-28.6,72,standard,35,18,5,-36.2,17,35.0,0,0
cust-00058,Customer 00058,16,99.14,0,2,-7.2,35,basic,14,24,20,-5.2,76,52.4,0,0
cust-00059,Customer 00059,39,182.1,0,3,24.6,82,basic,42,5,10,13.9,41,22.6,0,0
cust-00060,Customer 00060,3,176.28,2,1,8.7,17,basic,35,16,5,5.7,48,12.4,0,1
cust-00061,Customer 00061,17,158.17,5,1,-8.2,68,basic,19,15,0,-8.7,3,100,1,0
cust-00062,Customer 00062,37,1373.63,1,0,-20.2,19,premium,19,0,15,-38.8,14,65.8,1,0
cust-00063,Customer 00063,19,1086.94,1,3,25.6,46,premium,39,18,0,28.1,11,49.0,1,1
cust-00064,Customer 00064,28,141.09,11,2,23.5,83,basic,9,24,10,13.5,31,45.9,0,0
cust-00065,Customer 00065,24,406.79,5,0,9.0,60,standard,11,11,0,19.1,9,55.2,0,0
cust-00066,Customer 00066,16,320.2,0,0,-4.3,82,standard,2,1,15,3.9,41,33.3,0,0
cust-00067,Customer 00067,9,1494.14,0,2,-16.7,59,premium,14,4,0,-3.8,51,69.0,1,0
cust-00068,Customer 00068,19,391.48,4,0,19.8,52,standard,8,17,10,12.7,45,94.7,2,1
cust-00069,Customer 00069,14,701.26,1,0,-12.2,37,premium,9,0,0,0.8,2,74.3,0,0
cust-00070,Customer 00070,24,139.42,0,2,-53.2,35,basic,19,11,5,-59.7,74,59.0,2,0
cust-00071,Customer 00071,17,180.44,0,1,44.4,25,basic,16,12,0,45.2,71,100,1,0
cust-00072,Customer 00072,6,311.96,0,0,-41.3,50,standard,50,17,0,-52.6,86,63.8,3,1
cust-00073,Customer 00073,43,415.65,2,2,-20.2,24,standard,5,19,0,-21.4,23,88.1,2,0
cust-00074,Customer 00074,72,1219.28,5,0,36.4,11,premium,26,14,10,32.9,30,36.6,0,0
cust-00075,Customer 00075,32,161.44,0,0,-12.6,68,basic,24,8,10,-12.6,62,70.9,0,0
cust-00076,Customer 00076,14,1303.27,0,0,10.8,35,premium,21,0,0,12.7,29,39.8,0,0
cust-00077,Customer 00077,34,408.03,3,0,1.8,67,standard,7,27,0,2.4,13,68.2,1,0
cust-00078,Customer 00078,23,277.48,0,0,-29.0,68,standard,6,20,5,-33.7,82,8.5,2,0
cust-00079,Customer 00079,17,194.96,0,0,14.7,81,basic,9,16,0,7.3,62,57.2,0,0
cust-00080,Customer 00080,20,399.38,3,2,-9.7,51,standard,6,7,0,2.4,27,54.3,0,0
cust-00081,Customer 00081,24,183.0,4,0,4.2,57,basic,14,20,0,8.2,20,73.6,1,0
cust-00082,Customer 00082,21,483.49,1,0,12.1,54,standard,3,6,0,12.3,33,70.0,2,0
cust-00083,Customer 00083,39,117.99,5,0,-52.2,52,basic,30,17,0,-37.2,30,54.9,0,1
cust-00084,Customer 00084,13,183.01,1,0,42.7,65,basic,17,24,10,42.5,11,44.4,0,0
cust-00085,Customer 00085,16,206.49,0,3,27.2,57,basic,41,0,0,21.2,59,27.9,0,1
cust-00086,Customer 00086,48,102.55,0,3,14.3,72,basic,38,0,5,16.0,77,81.9,1,0
cust-00087,Customer 00087,12,897.12,0,0,9.8,85,premium,20,10,5,8.6,35,63.0,0,0
cust-00088,Customer 00088,28,190.6,1,0,-5.9,64,basic,14,34,0,-6.7,7,53.5,0,0
cust-00089,Customer 00089,72,333.83,0,1,-32.2,47,standard,26,14,0,-32.6,89,55.2,0,0
cust-00090,Customer 00090,30,411.83,0,2,1.0,64,standard,37,10,10,-2.3,31,49.4,0,0
cust-00091,Customer 00091,50,366.62,2,0,31.6,41,standard,26,0,10,28.7,10,49.9,1,0
cust-00092,Customer 00092,38,974.93,2,0,-39.0,57,premium,14,21,0,-27.3,14,73.0,1,0
cust-00093,Customer 00093,9,133.14,1,3,-59.5,47,basic,48,18,0,-62.7,75,58.4,2,1
cust-00094,Customer 00094,2,1600.48,1,1,-15.1,95,premium,10,22,10,-29.3,52,66.4,0,0
cust-00095,Customer 00095,29,254.32,1,1,-31.0,-5,standard,22,4,0,-40.4,46,86.9,2,1
cust-00096,Customer 00096,32,149.11,0,2,45,85,basic,7,13,0,47.6,62,35.8,2,0
cust-00097,Customer 00097,40,136.44,0,3,-46.4,47,basic,36,0,10,-44.0,64,100,1,1
cust-00098,Customer 00098,13,510.28,2,0,-0.4,31,standard,28,2,10,8.8,3,47.4,1,0
cust-00099,Customer 00099,10,170.49,0,0,-27.2,35,basic,20,15,0,-25.8,58,39.5,0,0
cust-00100,Customer 00100,12,1106.21,3,2,7.7,60,premium,18,9,0,-9.1,26,54.2,1,0
cust-00101,Customer 00101,8,328.4,5,1,23.1,54,standard,17,14,10,18.5,69,93.5,0,0
cust-00102,Customer 00102,9,160.18,2,0,-10.3,41,basic,13,9,10,-10.7,34,43.7,1,0
cust-00103,Customer 00103,71,1201.85,2,1,-28.4,85,premium,16,0,5,-17.8,21,63.5,3,0
cust-00104,Customer 00104,17,302.81,2,0,-3.5,20,standard,5,0,0,0.4,30,50.5,1,0
cust-00105,Customer 00105,72,119.64,0,1,-17.4,55,basic,26,4,0,-19.7,77,40.4,0,0
cust-00106,Customer 00106,17,469.5,1,0,1.3,72,standard,31,3,5,-4.8,13,60.0,2,0
cust-00107,Customer 00107,47,799.5,1,0,-1.4,29,premium,11,1,0,-5.8,33,54.5,1,0
cust-00108,Customer 00108,25,238.03,1,0,-51.3,-21,standard,27,23,0,-47.2,36,59.1,0,1
cust-00109,Customer 00109,47,343.06,1,0,-30.6,35,standard,12,10,0,-22.5,33,30.4,0,0
cust-00110,Customer 00110,17,400.26,0,0,-21.3,78,standard,43,26,10,-3.6,33,73.8,3,0
cust-00111,Customer 00111,30,167.82,4,0,-3.7,57,basic,52,16,0,2.4,4,45.1,0,0
cust-00112,Customer 00112,9,164.05,3,0,-38.3,23,basic,57,23,0,-32.2,20,30.7,0,1
cust-00113,Customer 00113,21,1081.22,0,1,-23.0,69,premium,21,0,0,-9.9,50,62.6,1,0
cust-00114,Customer 00114,19,1063.96,0,1,7.8,18,premium,29,5,0,26.2,60,29.3,0,0
cust-00115,Customer 00115,26,227.3,1,1,-12.7,79,standard,33,22,0,-10.1,34,57.2,1,0
cust-00116,Customer 00116,22,480.19,0,0,9.2,22,standard,3,14,0,-4.1,90,76.4,1,0
cust-00117,Customer 00117,29,131.65,0,0,-24.5,30,basic,31,0,0,-24.9,79,63.8,0,0
cust-00118,Customer 00118,27,169.38,1,1,-11.9,33,basic,34,1,5,-9.4,13,66.6,1,0
cust-00119,Customer 00119,3,1162.35,6,2,-33.1,46,premium,29,17,0,-27.8,13,89.5,0,0
cust-00120,Customer 00120,10,344.74,0,0,28.7,52,standard,17,14,0,32.5,73,39.6,0,0
cust-00121,Customer 00121,71,1499.81,2,0,-10.5,58,premium,28,7,5,-0.2,35,36.9,1,0
cust-00122,Customer 00122,31,1029.44,0,0,-23.4,15,premium,12,23,20,-17.9,54,52.8,0,0
cust-00123,Customer 00123,38,171.44,1,0,-26.7,60,basic,18,23,0,-21.6,44,26.3,1,0
cust-00124,Customer 00124,45,829.54,0,1,-0.4,4,premium,38,34,0,15.7,31,100,0,0
cust-00125,Customer 00125,27,1086.1,0,0,22.0,38,premium,8,0,0,17.6,31,34.7,2,0
cust-00126,Customer 00126,11,389.24,0,0,-33.3,34,standard,28,18,0,-22.5,29,58.0,1,0
cust-00127,Customer 00127,42,1159.39,4,0,-15.5,82,premium,14,16,5,-14.0,20,52.4,0,0
cust-00128,Customer 00128,19,201.47,2,1,-15.4,61,basic,25,0,0,-20.8,17,51.8,0,0
cust-00129,Customer 00129,6,181.46,0,0,5.2,50,basic,11,5,0,-6.9,71,61.9,0,0
cust-00130,Customer 00130,55,1340.55,2,0,36.3,57,premium,52,10,10,44.1,29,69.6,2,0
cust-00131,Customer 00131,36,693.33,8,0,-39.4,73,premium,25,12,10,-35.6,8,43.3,0,0
cust-00132,Customer 00132,31,476.46,0,1,-26.1,33,standard,10,27,0,-41.9,57,88.8,1,0
cust-00133,Customer 00133,59,756.12,7,0,-33.3,93,premium,29,19,0,-43.9,46,100,2,0
cust-00134,Customer 00134,33,150.74,0,1,21.5,16,basic,19,0,0,19.5,36,48.9,2,0
cust-00135,Customer 00135,24,1849.22,5,1,9.1,73,premium,19,0,0,10.8,12,100,0,0
cust-00136,Customer 00136,19,418.69,0,1,-22.4,30,standard,37,15,5,-27.6,49,90.5,0,0
cust-00137,Customer 00137,37,162.74,3,0,-26.8,51,basic,25,15,0,-11.1,18,59.6,0,0
cust-00138,Customer 00138,1,278.15,1,0,28.3,14,standard,17,13,10,26.8,10,82.1,0,0
cust-00139,Customer 00139,16,254.22,0,1,-13.2,63,basic,15,0,5,-4.6,72,93.6,1,0
cust-00140,Customer 00140,29,1107.12,1,0,2.4,73,premium,49,0,0,-14.4,20,57.5,1,0
cust-00141,Customer 00141,12,236.03,0,0,23.7,16,basic,25,10,15,23.1,68,80.8,0,0
cust-00142,Customer 00142,44,396.3,0,0,-10.6,33,standard,19,14,0,-4.0,72,98.7,0,0
cust-00143,Customer 00143,15,245.93,0,1,19.1,64,basic,38,12,5,30.3,37,25.7,0,1
cust-00144,Customer 00144,44,409.52,0,0,40.0,50,standard,30,6,20,46.1,40,75.0,1,0
cust-00145,Customer 00145,22,108.91,1,0,-17.2,76,basic,22,14,5,-17.0,43,61.3,1,0
cust-00146,Customer 00146,23,1111.07,1,0,21.2,-3,premium,39,10,0,10.0,36,95.4,0,0
cust-00147,Customer 00147,23,628.16,11,3,27.2,68,standard,18,10,0,34.0,25,65.4,1,0
cust-00148,Customer 00148,10,352.06,4,0,-2.9,56,standard,13,7,0,14.6,17,52.5,0,0
cust-00149,Customer 00149,8,141.6,0,1,-0.7,55,basic,10,1,5,-8.2,72,74.1,1,0
cust-00150,Customer 00150,3,1577.62,2,2,2.0,49,premium,26,0,0,-7.9,38,23.0,2,1
cust-00151,Customer 00151,10,274.84,0,0,8.6,23,standard,16,0,0,11.5,67,29.4,2,0
cust-00152,Customer 00152,40,1232.32,0,1,-32.8,53,premium,47,3,15,-27.5,66,58.3,0,0
cust-00153,Customer 00153,16,960.05,1,1,-6.6,58,premium,8,9,0,-9.8,16,76.7,0,0
cust-00154,Customer 00154,10,1254.29,3,0,-17.0,64,premium,59,2,0,-17.1,10,67.8,1,0
cust-00155,Customer 00155,20,402.6,2,2,9.0,50,standard,26,20,5,0.2,51,71.4,1,1
cust-00156,Customer 00156,55,116.17,3,0,-25.2,33,basic,13,11,0,-20.6,21,66.2,1,0
cust-00157,Customer 00157,41,78.36,0,0,2.4,45,basic,11,9,5,-2.4,53,70.2,2,0
cust-00158,Customer 00158,5,1078.66,0,1,13.7,-1,premium,8,2,0,15.9,77,55.1,1,0
cust-00159,Customer 00159,22,459.78,1,0,19.3,50,standard,15,13,0,23.8,6,53.8,0,0
cust-00160,Customer 00160,11,269.28,0,0,-16.7,33,basic,3,5,0,-19.2,37,32.8,3,0
cust-00161,Customer 00161,6,225.87,7,0,-3.1,-1,standard,28,3,0,-15.9,22,55.9,2,1
cust-00162,Customer 00162,38,474.39,6,1,-24.5,85,standard,11,13,10,-18.9,27,11.4,0,0
cust-00163,Customer 00163,25,582.18,1,3,4.6,50,premium,15,8,0,-7.3,22,59.7,1,1
cust-00164,Customer 00164,52,106.66,1,1,7.1,40,basic,7,7,0,8.3,27,37.7,0,0
cust-00165,Customer 00165,50,281.19,4,3,2.7,71,standard,28,16,0,3.1,12,71.8,0,0
cust-00166,Customer 00166,32,164.97,0,2,-23.0,19,basic,8,1,0,-43.3,55,89.6,1,0
cust-00167,Customer 00167,22,347.78,3,0,-16.2,55,standard,11,7,5,-14.6,48,23.9,2,0
cust-00168,Customer 00168,9,742.73,2,1,-21.8,52,premium,3,6,5,-30.5,45,42.3,0,0
cust-00169,Customer 00169,10,163.33,0,0,-45.1,20,basic,9,9,0,-33.0,76,83.4,0,0
cust-00170,Customer 00170,9,189.44,1,0,-4.5,57,basic,4,22,5,-14.0,18,57.1,1,0
cust-00171,Customer 00171,22,430.64,9,0,2.8,24,standard,39,13,10,0.6,53,49.7,3,1
cust-00172,Customer 00172,29,551.5,5,2,-14.6,75,standard,13,11,0,-5.3,40,44.6,1,0
cust-00173,Customer 00173,72,337.8,1,0,-4.0,83,standard,13,4,10,-9.2,15,78.4,1,0
cust-00174,Customer 00174,15,192.35,0,0,21.9,61,basic,27,13,0,16.5,46,57.6,0,1
cust-00175,Customer 00175,11,269.56,2,1,1.5,48,standard,12,18,0,-4.3,15,57.6,0,0
cust-00176,Customer 00176,28,771.12,1,2,-3.4,19,premium,38,4,0,-1.1,66,97.3,1,0
cust-00177,Customer 00177,57,203.5,2,1,8.2,49,basic,9,4,10,1.3,49,66.6,3,0
cust-00178,Customer 00178,72,149.8,0,0,-36.4,51,basic,53,0,5,-29.6,50,100,2,1
cust-00179,Customer 00179,12,1036.99,0,1,-20.1,37,premium,23,0,5,-19.4,46,52.5,0,0
cust-00180,Customer 00180,17,451.54,1,0,9.3,23,standard,20,18,0,16.3,2,46.3,0,0
cust-00181,Customer 00181,45,429.64,0,0,-31.2,9,standard,24,18,0,-29.6,87,88.2,0,0
cust-00182,Customer 00182,30,375.63,6,2,-14.6,70,standard,10,9,5,-24.8,30,90.0,0,0
cust-00183,Customer 00183,15,337.93,0,3,13.3,49,standard,24,21,0,21.3,45,91.9,0,0
cust-00184,Customer 00184,68,478.48,7,1,3.6,48,standard,65,30,10,3.3,9,49.2,1,1
cust-00185,Customer 00185,22,133.36,0,0,-26.5,39,basic,41,20,0,-28.3,90,73.8,0,0
cust-00186,Customer 00186,47,773.65,3,0,-32.2,92,premium,41,7,5,-31.1,90,75.5,0,0
cust-00187,Customer 00187,43,165.34,1,1,-21.5,21,basic,19,13,0,-28.8,20,100,1,0
cust-00188,Customer 00188,59,1296.18,0,2,12.7,62,premium,13,2,0,-5.9,30,88.9,2,0
cust-00189,Customer 00189,18,346.45,0,1,-40.5,39,standard,24,0,5,-33.6,50,33.3,0,0
cust-00190,Customer 00190,13,157.26,1,0,-27.8,74,basic,50,0,0,-34.2,81,57.3,0,0
cust-00191,Customer 00191,34,441.65,2,0,-11.4,67,standard,12,19,20,-23.7,7,47.8,0,0
cust-00192,Customer 00192,24,1433.36,0,0,-2.9,28,premium,31,4,0,1.8,33,59.3,0,0
cust-00193,Customer 00193,5,532.79,10,0,6.0,29,standard,7,3,0,8.8,11,31.2,1,0
cust-00194,Customer 00194,23,945.47,3,0,-27.4,44,premium,13,0,0,-29.4,11,89.7,0,0
cust-00195,Customer 00195,42,203.17,2,0,-8.5,62,standard,14,29,0,-12.6,49,46.5,0,0
cust-00196,Customer 00196,10,238.91,4,0,-35.1,95,basic,41,11,5,-41.8,9,56.7,0,0
cust-00197,Customer 00197,33,139.46,1,0,-36.9,23,basic,28,0,0,-46.1,22,62.2,1,0
cust-00198,Customer 00198,44,102.03,0,1,43.5,70,basic,9,1,5,44.1,34,86.7,0,0
cust-00199,Customer 00199,33,76.03,2,0,45,20,basic,4,19,10,44.9,59,53.8,1,0
cust-00200,Customer 00200,10,170.52,1,0,20.0,42,basic,45,11,0,27.7,10,30.5,1,1
cust-00201,Customer 00201,54,69.06,1,0,-6.9,80,basic,19,12,10,-17.0,31,32.5,2,0
cust-00202,Customer 00202,11,363.8,0,0,-6.1,41,standard,20,16,0,-16.4,84,37.8,0,0
cust-00203,Customer 00203,13,345.03,2,0,-11.2,83,standard,3,10,0,-6.5,8,66.1,0,0
cust-00204,Customer 00204,16,103.18,2,0,-15.4,63,basic,15,18,0,2.4,14,74.9,0,0
cust-00205,Customer 00205,20,1403.49,0,0,-36.8,43,premium,37,10,0,-44.0,56,27.5,0,0
cust-00206,Customer 00206,36,454.84,1,0,-17.7,15,standard,6,0,0,-13.1,41,59.3,0,0
cust-00207,Customer 00207,20,863.27,2,2,10.1,36,premium,62,6,0,17.4,18,65.1,0,0
cust-00208,Customer 00208,72,414.81,8,0,-20.2,13,standard,32,7,10,-35.8,25,16.2,2,1
cust-00209,Customer 00209,20,587.9,0,0,-15.0,37,premium,28,17,0,-14.2,39,60.0,2,0
cust-00210,Customer 00210,53,491.9,1,0,-33.4,84,standard,23,15,0,-32.0,32,77.1,1,0
cust-00211,Customer 00211,9,321.02,0,0,14.7,67,standard,36,9,10,20.1,25,50.9,1,0
cust-00212,Customer 00212,36,1157.0,0,2,22.6,62,premium,30,5,0,23.8,26,77.4,0,0
cust-00213,Customer 00213,3,310.45,1,2,-3.3,29,standard,17,5,0,0.1,58,64.7,0,0
cust-00214,Customer 00214,6,383.13,0,0,2.4,42,standard,6,3,5,13.3,74,92.9,0,0
cust-00215,Customer 00215,4,1041.02,3,1,0.2,57,premium,17,16,0,4.4,3,72.2,2,0
cust-00216,Customer 00216,12,321.85,0,0,14.6,95,standard,26,13,0,13.6,47,45.7,3,0
cust-00217,Customer 00217,5,180.74,3,0,5.5,56,basic,5,18,5,-5.2,65,43.2,0,1
cust-00218,Customer 00218,23,345.37,5,1,-14.3,61,standard,10,16,0,-21.8,6,13.1,0,0
cust-00219,Customer 00219,63,1181.7,0,2,-5.0,50,premium,14,5,5,-23.5,67,48.2,0,0
cust-00220,Customer 00220,49,100.02,2,0,1.1,70,basic,35,21,5,-11.9,31,56.7,1,0
cust-00221,Customer 00221,4,975.03,5,0,-16.0,36,premium,24,10,10,-18.9,20,44.0,2,1
cust-00222,Customer 00222,57,188.25,0,1,-4.5,64,basic,38,0,0,-16.8,58,71.1,0,0
cust-00223,Customer 00223,35,1096.33,1,0,-4.8,47,premium,3,0,5,4.0,32,100,0,0
cust-00224,Customer 00224,21,233.96,2,0,7.8,4,basic,25,17,15,-0.4,4,43.6,1,1
cust-00225,Customer 00225,16,266.52,0,0,-11.2,27,standard,21,13,15,5.0,78,100,0,1
cust-00226,Customer 00226,46,99.49,5,0,-11.0,79,basic,9,12,0,-18.5,12,46.1,1,0
cust-00227,Customer 00227,9,140.73,5,1,-36.0,33,basic,26,8,0,-45.0,11,66.9,0,0
cust-00228,Customer 00228,28,338.44,1,0,3.6,58,standard,21,0,0,7.4,33,66.7,0,0
cust-00229,Customer 00229,21,407.11,0,0,-24.9,33,standard,21,24,5,-23.3,53,46.1,0,1
cust-00230,Customer 00230,23,326.68,0,1,4.2,46,standard,18,28,5,1.2,80,36.7,2,0
cust-00231,Customer 00231,41,745.86,1,0,-27.0,11,premium,25,3,0,-31.8,33,38.8,0,0
cust-00232,Customer 00232,21,301.51,1,0,-32.5,25,standard,19,6,0,-40.5,38,27.6,1,1
cust-00233,Customer 00233,13,162.02,2,0,-18.9,85,basic,31,19,10,-6.3,40,35.9,0,0
cust-00234,Customer 00234,8,463.84,2,1,11.4,48,standard,9,0,0,-0.0,46,78.8,1,0
cust-00235,Customer 00235,23,174.94,6,0,-10.5,48,basic,38,9,0,-18.4,50,60.3,1,0
cust-00236,Customer 00236,38,158.64,3,1,16.8,89,basic,12,13,20,4.7,51,56.4,1,0
cust-00237,Customer 00237,11,486.46,1,0,-2.3,56,standard,22,11,15,-8.2,15,29.4,0,0
cust-00238,Customer 00238,59,203.46,0,0,45,55,basic,9,8,0,38.1,63,73.1,3,0
cust-00239,Customer 00239,23,271.22,0,0,-42.1,10,standard,23,5,0,-39.4,30,63.7,1,1
cust-00240,Customer 00240,11,128.7,1,2,25.7,13,basic,26,10,5,30.1,21,68.9,0,0
cust-00241,Customer 00241,22,139.28,1,2,22.9,25,basic,39,0,5,21.0,11,91.2,0,1
cust-00242,Customer 00242,4,166.62,9,0,-14.9,32,basic,15,15,10,-14.4,21,67.3,1,1
cust-00243,Customer 00243,20,253.37,5,1,-22.3,62,standard,4,8,0,-22.9,46,25.3,2,1
cust-00244,Customer 00244,16,322.89,1,1,-5.5,95,standard,13,4,0,6.5,11,54.2,0,0
cust-00245,Customer 00245,26,471.57,0,0,17.7,95,standard,13,34,0,24.4,90,72.2,0,0
cust-00246,Customer 00246,33,608.19,0,1,-1.1,19,standard,22,19,0,2.5,82,65.3,0,0
cust-00247,Customer 00247,11,1511.08,3,2,9.3,68,premium,23,5,0,12.0,77,49.7,1,0
cust-00248,Customer 00248,8,639.5,3,3,11.3,73,standard,16,14,0,17.0,38,49.0,0,0
cust-00249,Customer 00249,9,234.52,0,1,33.4,37,standard,28,13,0,33.7,62,53.9,0,0
cust-00250,Customer 00250,42,196.07,1,1,-8.7,46,basic,26,12,0,-5.2,9,72.6,0,0
cust-00251,Customer 00251,36,431.49,0,0,-1.0,42,standard,12,14,0,-16.5,53,78.3,2,1
cust-00252,Customer 00252,25,1038.52,2,0,-7.1,46,premium,7,8,10,-11.2,14,41.2,1,0
cust-00253,Customer 00253,5,528.71,3,3,23.4,55,standard,3,0,0,28.0,28,29.0,0,0
cust-00254,Customer 00254,32,171.31,4,0,4.8,46,basic,9,17,10,9.3,15,87.2,0,0
cust-00255,Customer 00255,20,430.6,0,1,-9.7,35,standard,11,8,0,-11.7,73,30.0,2,1
cust-00256,Customer 00256,12,224.86,0,0,18.4,70,basic,22,11,0,16.7,35,52.2,0,0
cust-00257,Customer 00257,22,463.57,0,0,-5.4,39,standard,19,4,0,-9.2,67,82.7,0,0
cust-00258,Customer 00258,27,1308.16,1,0,21.6,62,premium,19,20,15,17.3,30,100,2,0
cust-00259,Customer 00259,13,105.69,0,0,19.4,64,basic,44,18,0,30.1,27,65.2,3,0
